Time,V Pop,H Pop,Curr Win %,LS Win %,Last Game,Last Attendance vs Opp,Capacity,Home,Visitor,Playoffs?,Last Five,Day of Week,Month,Rivalry?,Attendance
1990-01-18,2,13,0.59375,0.6470588235294118,13643.0,14487.0,47487.0,Phoenix Suns,Minnesota Timberwolves,0,5.0,Thursday,January,0,14070.0
1990-01-18,3,17,0.4444444444444444,0.75,18676.0,17843.0,18676.0,Chicago Bulls,Golden State Warriors,0,2.0,Thursday,January,0,18676.0
1990-01-18,1,4,0.5405405405405406,0.6710526315789473,9256.0,10631.0,17027.0,Denver Nuggets,Charlotte Hornets,0,2.0,Thursday,January,0,7965.0
1990-01-19,3,3,0.4324324324324325,0.6987951807228916,21454.0,12657.0,21545.0,Detroit Pistons,Golden State Warriors,0,1.0,Friday,January,0,21454.0
1990-01-19,4,9,0.5405405405405406,0.7432432432432432,14890.0,14890.0,14890.0,Boston Celtics,Indiana Pacers,0,2.0,Friday,January,0,14890.0
1990-01-19,4,5,0.6451612903225806,0.5405405405405406,17007.0,11715.0,17007.0,Dallas Mavericks,New York Knicks,0,3.0,Friday,January,0,17007.0
1990-01-19,17,5,0.6764705882352942,0.581081081081081,11817.0,16096.0,16371.0,Atlanta Hawks,Chicago Bulls,0,4.0,Friday,January,0,16371.0
1990-01-19,1,4,0.65625,0.5974025974025974,12616.0,12616.0,12616.0,Utah Jazz,Charlotte Hornets,0,5.0,Friday,January,0,12616.0
1990-01-19,5,2,0.5588235294117647,0.5512820512820513,18633.0,18575.0,18633.0,Milwaukee Bucks,Los Angeles Lakers,0,3.0,Friday,January,0,18633.0
1990-01-19,2,4,0.6774193548387096,0.25675675675675674,15910.0,15908.0,15910.0,San Antonio Spurs,Cleveland Cavaliers,0,3.0,Friday,January,0,15910.0
1990-01-19,8,2,0.6,0.1891891891891892,15008.0,15008.0,15008.0,Miami Heat,Philadelphia 76ers,0,4.0,Friday,January,0,15008.0
1990-01-20,2,5,0.4848484848484849,0.5405405405405406,17007.0,10322.0,17007.0,Dallas Mavericks,Cleveland Cavaliers,0,2.0,Saturday,January,0,17007.0
1990-01-20,4,4,0.65625,0.6710526315789473,7965.0,14399.0,17027.0,Denver Nuggets,San Antonio Spurs,0,2.0,Saturday,January,0,15817.0
1990-01-20,2,1,0.18181818181818185,0.35211267605633795,10120.0,10120.0,15350.0,Los Angeles Clippers,Minnesota Timberwolves,0,0.0,Saturday,January,0,12030.0
1990-01-20,4,7,0.6666666666666666,0.3472222222222222,17014.0,17014.0,17017.0,Sacramento Kings,Utah Jazz,0,5.0,Saturday,January,0,17014.0
1990-01-21,1,2,0.7272727272727273,0.4533333333333333,12884.0,12888.0,12884.0,Portland Trail Blazers,Charlotte Hornets,0,4.0,Sunday,January,0,12884.0
1990-01-21,2,2,0.5714285714285714,0.5512820512820513,18633.0,18633.0,18633.0,Milwaukee Bucks,Miami Heat,0,3.0,Sunday,January,0,15017.0
1990-01-21,4,17,0.625,0.75,18676.0,18264.0,18676.0,Chicago Bulls,New York Knicks,0,2.0,Sunday,January,1,18676.0
1990-01-21,3,9,0.4473684210526316,0.7432432432432432,14890.0,14890.0,14890.0,Boston Celtics,Golden State Warriors,0,1.0,Sunday,January,0,14890.0
1990-01-21,5,3,0.7575757575757576,0.6987951807228916,21454.0,15490.0,21545.0,Detroit Pistons,Los Angeles Lakers,0,4.0,Sunday,January,1,21454.0
1990-01-22,1,7,0.22857142857142854,0.3472222222222222,17014.0,17014.0,17017.0,Sacramento Kings,Los Angeles Clippers,0,2.0,Monday,January,0,17014.0
1990-01-22,4,8,0.5,0.1891891891891892,14439.0,13581.0,16616.0,Houston Rockets,Denver Nuggets,0,4.0,Monday,January,0,14890.0
1990-01-23,8,4,0.6764705882352942,0.5974025974025974,12616.0,12616.0,12616.0,Utah Jazz,Houston Rockets,0,5.0,Tuesday,January,1,12610.0
1990-01-23,2,2,0.7352941176470589,0.4533333333333333,12884.0,12888.0,12884.0,Portland Trail Blazers,Milwaukee Bucks,0,4.0,Tuesday,January,0,12884.0
1990-01-23,5,4,0.6060606060606061,0.6103896103896104,18212.0,19763.0,18212.0,New York Knicks,Los Angeles Lakers,0,1.0,Tuesday,January,0,18212.0
1990-01-23,13,2,0.6176470588235294,0.1891891891891892,15008.0,15008.0,15008.0,Miami Heat,Phoenix Suns,0,5.0,Tuesday,January,0,15008.0
1990-01-23,8,2,0.6129032258064516,0.6710526315789473,17657.0,20273.0,20273.0,Cleveland Cavaliers,Philadelphia 76ers,0,4.0,Tuesday,January,0,16225.0
1990-01-23,3,17,0.6285714285714286,0.75,18676.0,18131.0,18676.0,Chicago Bulls,Detroit Pistons,0,3.0,Tuesday,January,1,18676.0
1990-01-23,5,1,0.2352941176470588,0.2352941176470588,23901.0,23901.0,23901.0,Charlotte Hornets,Atlanta Hawks,0,1.0,Tuesday,January,0,23901.0
1990-01-23,2,3,0.17647058823529413,0.6790123456790124,15025.0,15025.0,15025.0,Golden State Warriors,Minnesota Timberwolves,0,0.0,Tuesday,January,0,15025.0
1990-01-24,2,5,0.3333333333333333,0.581081081081081,16371.0,13348.0,16371.0,Atlanta Hawks,Cleveland Cavaliers,0,0.0,Wednesday,January,0,14220.0
1990-01-24,2,9,0.2,0.7432432432432432,14890.0,14890.0,14890.0,Boston Celtics,Miami Heat,0,1.0,Wednesday,January,0,14890.0
1990-01-24,5,4,0.7714285714285715,0.5797101449275363,11189.0,16530.0,16912.0,Indiana Pacers,Los Angeles Lakers,0,4.0,Wednesday,January,0,16912.0
1990-01-24,19,8,0.625,0.5070422535211268,13127.0,12272.0,18168.0,Philadelphia 76ers,Orlando Magic,0,4.0,Wednesday,January,0,8784.0
1990-01-24,3,7,0.25,0.3472222222222222,17014.0,17317.0,17017.0,Sacramento Kings,Golden State Warriors,0,3.0,Wednesday,January,0,17014.0
1990-01-24,1,4,0.6666666666666666,0.25675675675675674,15910.0,16057.0,15910.0,San Antonio Spurs,Los Angeles Clippers,0,3.0,Wednesday,January,0,12801.0
1990-01-25,4,4,0.6857142857142857,0.5974025974025974,12610.0,18700.0,12616.0,Utah Jazz,New York Knicks,0,5.0,Thursday,January,0,12616.0
1990-01-25,13,1,0.6285714285714286,0.2352941176470588,23901.0,23698.0,23901.0,Charlotte Hornets,Phoenix Suns,0,5.0,Thursday,January,0,23901.0
1990-01-25,1,8,0.4324324324324325,0.1891891891891892,14890.0,9502.0,16616.0,Houston Rockets,Los Angeles Clippers,0,2.0,Thursday,January,0,15081.0
1990-01-26,17,8,0.6363636363636364,0.5070422535211268,8784.0,10243.0,18168.0,Philadelphia 76ers,Chicago Bulls,0,5.0,Friday,January,0,18168.0
1990-01-26,4,2,0.6470588235294118,0.4533333333333333,12884.0,12888.0,12884.0,Portland Trail Blazers,San Antonio Spurs,0,3.0,Friday,January,0,12884.0
1990-01-26,2,5,0.5405405405405406,0.6987951807228916,16844.0,17137.0,17506.0,Los Angeles Lakers,Milwaukee Bucks,0,3.0,Friday,January,0,17505.0
1990-01-26,7,5,0.2432432432432433,0.5405405405405406,17007.0,17502.0,17007.0,Dallas Mavericks,Sacramento Kings,0,3.0,Friday,January,0,17007.0
1990-01-26,13,3,0.6111111111111112,0.6987951807228916,21454.0,21454.0,21545.0,Detroit Pistons,Phoenix Suns,0,4.0,Friday,January,0,21454.0
1990-01-26,2,4,0.19444444444444445,0.5797101449275363,16912.0,16530.0,16912.0,Indiana Pacers,Miami Heat,0,0.0,Friday,January,0,11811.0
1990-01-27,2,1,0.75,0.35211267605633795,12030.0,10890.0,15350.0,Los Angeles Clippers,Portland Trail Blazers,0,5.0,Saturday,January,0,13170.0
1990-01-27,2,4,0.6944444444444444,0.5974025974025974,12616.0,19911.0,12616.0,Utah Jazz,Milwaukee Bucks,0,5.0,Saturday,January,0,12616.0
1990-01-27,5,8,0.4864864864864865,0.1891891891891892,15081.0,16611.0,16616.0,Houston Rockets,Dallas Mavericks,0,3.0,Saturday,January,1,16611.0
1990-01-27,4,4,0.6,0.6710526315789473,15817.0,10251.0,17027.0,Denver Nuggets,New York Knicks,0,1.0,Saturday,January,0,17027.0
1990-01-27,7,1,0.2631578947368421,0.2352941176470588,23901.0,23698.0,23901.0,Charlotte Hornets,Sacramento Kings,0,3.0,Saturday,January,0,23901.0
1990-01-27,2,4,0.525,0.5797101449275363,11811.0,16530.0,16912.0,Indiana Pacers,Cleveland Cavaliers,0,1.0,Saturday,January,0,15077.0
1990-01-28,13,9,0.5945945945945946,0.7432432432432432,14890.0,14890.0,14890.0,Boston Celtics,Phoenix Suns,0,3.0,Sunday,January,0,14890.0
1990-01-29,5,17,0.6578947368421053,0.75,18676.0,18676.0,18676.0,Chicago Bulls,Atlanta Hawks,0,3.0,Monday,January,0,18478.0
1990-01-29,4,5,0.6571428571428571,0.6987951807228916,17505.0,13841.0,17506.0,Los Angeles Lakers,San Antonio Spurs,0,3.0,Monday,January,1,17505.0
1990-01-30,4,2,0.6756756756756757,0.4533333333333333,12884.0,20482.0,12884.0,Portland Trail Blazers,Utah Jazz,0,4.0,Tuesday,January,0,12884.0
1990-01-30,3,5,0.6578947368421053,0.581081081081081,14220.0,9586.0,16371.0,Atlanta Hawks,Detroit Pistons,0,4.0,Tuesday,January,0,16248.0
1990-01-30,5,1,0.7368421052631579,0.35211267605633795,13170.0,13752.0,15350.0,Los Angeles Clippers,Los Angeles Lakers,0,3.0,Tuesday,January,1,15350.0
1990-01-30,7,2,0.25,0.5512820512820513,15017.0,18633.0,18633.0,Milwaukee Bucks,Sacramento Kings,0,2.0,Tuesday,January,0,13682.0
1990-01-30,2,2,0.1891891891891892,0.1891891891891892,15008.0,15200.0,15008.0,Miami Heat,Cleveland Cavaliers,0,0.0,Tuesday,January,0,15008.0
1990-01-31,1,4,0.6666666666666666,0.25675675675675674,12801.0,16057.0,15910.0,San Antonio Spurs,Charlotte Hornets,0,3.0,Wednesday,January,0,13276.0
1990-01-31,8,4,0.6470588235294118,0.5797101449275363,15077.0,16530.0,16912.0,Indiana Pacers,Philadelphia 76ers,0,5.0,Wednesday,January,0,11170.0
1990-01-31,1,4,0.6842105263157895,0.5974025974025974,12616.0,19911.0,12616.0,Utah Jazz,Los Angeles Clippers,0,4.0,Wednesday,January,0,12616.0
1990-01-31,8,5,0.4736842105263158,0.5405405405405406,17007.0,15843.0,17007.0,Dallas Mavericks,Houston Rockets,0,2.0,Wednesday,January,1,17007.0
1990-01-31,4,9,0.5833333333333334,0.7432432432432432,14890.0,16379.0,14890.0,Boston Celtics,New York Knicks,0,1.0,Wednesday,January,1,14890.0
1990-01-31,2,3,0.7368421052631579,0.6790123456790124,15025.0,15025.0,15025.0,Golden State Warriors,Portland Trail Blazers,0,4.0,Wednesday,January,0,15025.0
1990-02-01,7,3,0.24390243902439024,0.6103896103896104,18212.0,19763.0,18212.0,New York Knicks,Sacramento Kings,0,1.0,Thursday,February,0,16621.0
1990-02-01,6,14,0.6052631578947368,0.6470588235294118,14070.0,14496.0,47487.0,Phoenix Suns,Atlanta Hawks,0,3.0,Thursday,February,0,14173.0
1990-02-01,16,10,0.4871794871794872,0.1891891891891892,16611.0,16611.0,16616.0,Houston Rockets,Chicago Bulls,0,2.0,Thursday,February,0,16616.0
1990-02-01,25,2,0.2682926829268293,0.5512820512820513,13682.0,18633.0,18633.0,Milwaukee Bucks,Orlando Magic,0,1.0,Thursday,February,0,14113.0
1990-02-02,5,4,0.6923076923076923,0.5974025974025974,12616.0,19911.0,12616.0,Utah Jazz,Dallas Mavericks,0,4.0,Friday,February,0,12616.0
1990-02-02,2,7,0.6571428571428571,0.5070422535211268,18168.0,8224.0,18168.0,Philadelphia 76ers,Milwaukee Bucks,0,5.0,Friday,February,0,15383.0
1990-02-02,1,1,0.21052631578947367,0.1891891891891892,15008.0,14687.0,15008.0,Miami Heat,Los Angeles Clippers,0,1.0,Friday,February,0,15008.0
1990-02-02,6,5,0.7435897435897436,0.6987951807228916,17505.0,14351.0,17506.0,Los Angeles Lakers,Atlanta Hawks,0,3.0,Friday,February,0,17505.0
1990-02-02,3,1,0.6756756756756757,0.2352941176470588,23901.0,23698.0,23901.0,Charlotte Hornets,San Antonio Spurs,0,4.0,Friday,February,0,23901.0
1990-02-03,3,2,0.6666666666666666,0.6710526315789473,16225.0,20273.0,20273.0,Cleveland Cavaliers,Detroit Pistons,0,5.0,Saturday,February,0,20167.0
1990-02-03,3,3,0.6052631578947368,0.6103896103896104,16621.0,19763.0,18212.0,New York Knicks,Indiana Pacers,0,3.0,Saturday,February,1,18212.0
1990-02-03,10,14,0.6153846153846154,0.6470588235294118,14173.0,14496.0,47487.0,Phoenix Suns,Houston Rockets,0,3.0,Saturday,February,0,14487.0
1990-02-03,5,2,0.7435897435897436,0.4533333333333333,12884.0,20047.0,12884.0,Portland Trail Blazers,Dallas Mavericks,0,4.0,Saturday,February,0,12884.0
1990-02-03,16,3,0.6842105263157895,0.25675675675675674,13276.0,16767.0,15910.0,San Antonio Spurs,Chicago Bulls,0,4.0,Saturday,February,0,15910.0
1990-02-04,14,2,0.75,0.4533333333333333,12884.0,19759.0,12884.0,Portland Trail Blazers,Phoenix Suns,0,4.0,Sunday,February,0,12884.0
1990-02-04,7,2,0.6666666666666666,0.5512820512820513,14113.0,18633.0,18633.0,Milwaukee Bucks,Philadelphia 76ers,0,5.0,Sunday,February,0,17964.0
1990-02-04,4,3,0.675,0.6987951807228916,21454.0,17696.0,21545.0,Detroit Pistons,Utah Jazz,0,3.0,Sunday,February,0,21454.0
1990-02-04,6,3,0.5365853658536586,0.6710526315789473,17027.0,13537.0,17027.0,Denver Nuggets,Atlanta Hawks,0,2.0,Sunday,February,0,14530.0
1990-02-04,7,10,0.2380952380952381,0.7432432432432432,14890.0,16820.0,14890.0,Boston Celtics,Sacramento Kings,0,1.0,Sunday,February,0,14890.0
1990-02-05,4,7,0.6585365853658537,0.5070422535211268,15383.0,7330.0,18168.0,Philadelphia 76ers,Utah Jazz,0,2.0,Monday,February,0,15133.0
1990-02-05,1,3,0.6153846153846154,0.6103896103896104,18212.0,19763.0,18212.0,New York Knicks,Miami Heat,0,4.0,Monday,February,1,17769.0
1990-02-05,1,2,0.4186046511627907,0.6710526315789473,20167.0,20273.0,20273.0,Cleveland Cavaliers,Los Angeles Clippers,0,2.0,Monday,February,0,15694.0
1990-02-06,3,3,0.5,0.6710526315789473,14530.0,10456.0,17027.0,Denver Nuggets,Indiana Pacers,0,1.0,Tuesday,February,0,12871.0
1990-02-06,2,3,0.6829268292682927,0.6987951807228916,21454.0,15249.0,21545.0,Detroit Pistons,Cleveland Cavaliers,0,5.0,Tuesday,February,0,21454.0
1990-02-06,2,10,0.2,0.1891891891891892,16616.0,16285.0,16616.0,Houston Rockets,Minnesota Timberwolves,0,2.0,Tuesday,February,0,14505.0
1990-02-06,5,2,0.7317073170731707,0.4533333333333333,12884.0,20317.0,12884.0,Portland Trail Blazers,Los Angeles Lakers,0,3.0,Tuesday,February,0,12884.0
1990-02-06,5,7,0.2325581395348837,0.3472222222222222,17014.0,17317.0,17017.0,Sacramento Kings,Dallas Mavericks,0,0.0,Tuesday,February,0,17014.0
1990-02-06,6,3,0.6923076923076923,0.25675675675675674,15910.0,17660.0,15910.0,San Antonio Spurs,Atlanta Hawks,0,5.0,Tuesday,February,0,13430.0
1990-02-07,16,5,0.7560975609756098,0.6987951807228916,17505.0,11215.0,17506.0,Los Angeles Lakers,Chicago Bulls,0,3.0,Wednesday,February,0,17505.0
1990-02-07,2,7,0.6578947368421053,0.5070422535211268,15133.0,10035.0,18168.0,Philadelphia 76ers,Golden State Warriors,0,4.0,Wednesday,February,0,12246.0
1990-02-07,1,10,0.20512820512820512,0.7432432432432432,14890.0,17047.0,14890.0,Boston Celtics,Charlotte Hornets,0,0.0,Wednesday,February,0,14890.0
1990-02-08,2,3,0.6341463414634146,0.6103896103896104,17769.0,19763.0,18212.0,New York Knicks,Golden State Warriors,0,5.0,Thursday,February,0,18212.0
1990-02-08,3,3,0.675,0.25675675675675674,13430.0,12968.0,15910.0,San Antonio Spurs,Indiana Pacers,0,4.0,Thursday,February,0,13626.0
1990-02-08,3,2,0.5116279069767442,0.5512820512820513,17964.0,18633.0,18633.0,Milwaukee Bucks,Detroit Pistons,0,2.0,Thursday,February,0,17204.0
1990-02-08,6,10,0.4761904761904762,0.1891891891891892,14505.0,16285.0,16616.0,Houston Rockets,Atlanta Hawks,0,2.0,Thursday,February,0,15836.0
1990-02-08,2,5,0.1951219512195122,0.5405405405405406,17007.0,14153.0,17007.0,Dallas Mavericks,Minnesota Timberwolves,0,2.0,Thursday,February,0,17007.0
1990-02-08,4,1,0.6666666666666666,0.2352941176470588,23901.0,23698.0,23901.0,Charlotte Hornets,Utah Jazz,0,3.0,Thursday,February,0,23901.0
1990-02-08,16,3,0.5348837209302325,0.6710526315789473,12871.0,17022.0,17027.0,Denver Nuggets,Chicago Bulls,0,2.0,Thursday,February,0,17022.0
1990-02-08,1,2,0.2,0.6710526315789473,15694.0,20273.0,20273.0,Cleveland Cavaliers,Miami Heat,0,1.0,Thursday,February,0,13620.0
1990-02-13,14,1,0.6097560975609756,0.35211267605633795,15350.0,9560.0,15350.0,Los Angeles Clippers,Phoenix Suns,0,3.0,Tuesday,February,0,12059.0
1990-02-13,2,4,0.6744186046511628,0.5974025974025974,12616.0,19911.0,12616.0,Utah Jazz,Minnesota Timberwolves,0,3.0,Tuesday,February,0,12616.0
1990-02-13,16,1,0.1951219512195122,0.1891891891891892,15008.0,14589.0,15008.0,Miami Heat,Chicago Bulls,0,1.0,Tuesday,February,1,15008.0
1990-02-13,1,3,0.5217391304347826,0.5797101449275363,11170.0,16530.0,16912.0,Indiana Pacers,Charlotte Hornets,0,3.0,Tuesday,February,0,9536.0
1990-02-13,10,10,0.4651162790697674,0.1891891891891892,15836.0,16285.0,16616.0,Houston Rockets,Boston Celtics,0,2.0,Tuesday,February,0,16611.0
1990-02-13,3,3,0.6976744186046512,0.6987951807228916,21454.0,11858.0,21545.0,Detroit Pistons,Denver Nuggets,0,5.0,Tuesday,February,0,21454.0
